Variable:,tas
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1901,9.87,11.86,10.84,10.90,6.89,12.20,10.81,11.58,6.93,11.97,10.08,9.02,11.77,9.02,9.91,11.72
1902,9.34,11.55,10.34,10.48,5.99,11.72,10.44,11.19,6.11,11.53,9.69,8.22,11.62,8.90,9.30,11.36
1903,9.12,11.00,10.29,9.96,6.18,11.60,9.95,10.85,6.18,11.28,9.28,8.38,11.17,8.42,9.32,10.93
1904,9.40,11.02,10.74,10.14,6.68,12.04,10.23,11.09,6.48,11.65,9.60,8.94,11.14,8.42,9.84,11.29
1905,8.98,10.88,10.40,9.84,6.04,11.69,9.92,10.78,5.36,11.32,9.25,8.50,11.35,8.80,9.47,10.93
1906,9.19,11.33,10.47,10.28,6.22,11.79,10.29,11.10,5.22,11.57,9.62,8.74,11.42,8.71,9.59,11.29
1907,8.67,10.67,9.87,9.59,5.70,11.15,9.55,10.31,5.28,10.83,8.88,7.97,11.06,8.45,8.89,10.56
1908,8.95,10.92,10.32,9.95,5.97,11.64,10.00,10.77,5.29,11.36,9.34,8.41,11.11,8.44,9.36,11.02
1909,8.82,10.85,10.15,9.86,5.87,11.43,9.85,10.51,5.15,11.11,9.08,8.30,10.93,8.20,9.22,10.79
1910,9.01,10.68,10.26,9.74,6.24,11.61,9.75,10.76,6.11,11.33,9.18,8.45,10.93,8.30,9.33,10.86
1911,8.91,10.56,10.13,9.58,6.19,11.48,9.62,10.55,6.08,11.16,8.98,8.33,10.87,8.33,9.19,10.68
1912,9.48,11.27,10.71,10.36,6.56,12.09,10.43,11.49,6.24,11.97,9.85,8.91,11.39,8.82,9.77,11.46
1913,9.65,11.48,11.06,10.86,6.57,12.51,11.08,12.04,5.77,12.49,10.47,9.16,11.29,8.62,10.08,12.08
1914,9.13,11.26,10.22,10.27,6.01,11.61,10.25,10.94,5.55,11.36,9.47,8.34,11.39,8.84,9.25,11.21
1915,9.29,11.41,10.35,10.39,6.10,11.75,10.39,11.16,5.76,11.54,9.71,8.40,11.69,9.22,9.36,11.42
1916,9.30,11.00,10.44,10.23,6.52,11.80,10.18,11.08,6.50,11.51,9.56,8.75,10.86,8.19,9.54,11.19
1917,9.35,10.43,10.97,9.94,7.04,12.29,10.10,11.41,6.67,11.96,9.65,9.37,10.32,7.63,10.12,11.22
1918,9.10,10.72,10.40,9.87,6.26,11.82,9.88,11.13,6.02,11.61,9.45,8.58,11.08,8.56,9.45,11.03
1919,9.59,11.48,10.70,10.49,6.60,12.11,10.39,11.44,6.43,11.89,9.87,8.90,11.75,9.24,9.76,11.48
1920,9.49,11.31,10.53,10.46,6.49,11.98,10.45,11.42,6.42,11.83,9.90,8.75,11.46,8.94,9.60,11.52
1921,9.01,10.68,10.13,9.56,6.23,11.50,9.56,10.71,6.35,11.20,9.07,8.36,11.25,8.79,9.22,10.72
1922,9.11,10.69,10.35,9.56,6.52,11.70,9.46,10.82,6.40,11.37,9.04,8.74,11.25,8.81,9.48,10.65
1923,8.89,10.92,10.00,9.81,5.89,11.42,9.68,10.71,5.47,11.16,9.12,8.19,11.33,8.89,9.05,10.73
1924,9.24,10.90,10.40,9.75,6.57,11.73,9.74,10.88,6.54,11.39,9.25,8.72,11.37,8.92,9.50,10.88
1925,9.22,11.25,10.24,10.45,5.92,11.70,10.47,11.14,5.86,11.50,9.80,8.11,11.53,9.02,9.17,11.54
1926,9.39,11.57,10.41,10.64,5.91,11.91,10.64,11.43,5.70,11.78,10.03,8.24,12.06,9.66,9.31,11.73
1927,9.29,10.93,10.48,10.16,6.30,11.92,10.26,11.34,6.16,11.73,9.78,8.52,11.56,9.18,9.47,11.41
1928,8.96,10.79,10.01,9.47,6.08,11.34,9.40,10.57,6.13,10.99,8.99,8.20,11.71,9.42,9.08,10.59
1929,9.35,11.18,10.39,10.38,6.26,11.80,10.47,11.28,6.14,11.60,9.84,8.50,11.59,9.15,9.41,11.52
1930,9.34,11.30,10.56,10.29,6.27,11.96,10.36,11.28,5.88,11.67,9.77,8.63,11.62,9.16,9.57,11.45
1931,8.83,10.50,10.21,9.10,6.15,11.50,9.44,10.56,5.79,11.06,8.97,8.33,11.28,8.97,9.27,10.65
1932,9.28,11.19,10.63,10.22,6.30,11.97,10.35,11.36,5.46,11.73,9.89,8.74,11.56,9.15,9.69,11.55
1933,9.01,10.89,10.13,10.12,5.86,11.52,10.25,11.06,5.51,11.38,9.63,8.22,11.28,8.86,9.17,11.35
