Variable:,tas
Country:,Chile
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.70,13.41,12.41,9.91,7.88,6.89,5.40,6.25,8.81,9.80,11.16,13.03
1902,13.77,13.36,12.23,10.91,8.06,5.88,4.13,4.42,7.51,8.97,10.36,12.72
1903,13.20,12.88,11.35,9.15,7.63,5.67,5.19,5.41,8.35,8.75,10.27,11.84
1904,13.78,13.06,11.16,10.62,7.66,6.03,5.49,6.04,8.33,8.51,10.10,12.12
1905,13.72,13.03,12.38,9.32,6.54,5.97,4.29,5.56,7.51,8.23,10.13,11.40
1906,13.06,13.78,12.43,9.70,7.92,3.68,4.33,5.89,7.37,9.55,11.13,11.77
1907,13.37,12.96,11.45,8.75,6.41,4.03,5.14,4.98,6.43,8.39,10.83,11.54
1908,13.41,13.35,12.25,8.17,6.91,6.19,5.44,5.06,6.86,8.34,9.88,11.70
1909,13.75,12.45,11.96,9.45,6.15,4.78,4.54,6.02,7.31,8.54,9.93,11.14
1910,12.31,12.44,10.85,8.68,7.03,5.41,4.93,6.04,7.64,9.45,11.28,12.27
1911,13.20,12.70,11.22,8.51,7.30,5.38,5.49,4.73,6.45,8.59,10.84,12.68
1912,13.90,13.40,12.80,10.07,6.50,5.72,5.14,5.34,7.89,9.95,10.06,13.06
1913,13.74,13.85,11.86,10.39,7.14,6.05,6.11,5.88,8.05,9.19,11.36,12.44
1914,13.45,13.68,11.89,9.11,7.48,5.77,6.21,5.59,6.70,8.37,9.41,12.16
1915,13.18,13.35,11.71,9.07,6.94,4.03,5.91,6.36,7.70,9.71,11.20,12.53
1916,13.58,13.29,11.71,10.27,7.95,3.60,4.25,5.95,7.93,9.92,11.18,12.11
1917,13.70,13.11,11.52,9.94,6.60,5.79,5.13,5.70,7.65,9.37,11.32,12.63
1918,12.78,13.30,11.64,9.68,6.14,5.38,5.09,5.81,6.72,9.13,10.54,13.22
1919,14.30,13.70,12.16,9.61,9.02,5.41,5.39,6.03,6.88,9.35,10.34,13.03
1920,14.29,13.52,11.92,10.51,7.62,5.25,4.50,6.37,7.91,8.72,11.04,12.34
1921,12.96,12.52,11.41,10.02,7.78,4.00,4.51,5.47,7.07,9.03,11.11,12.48
1922,12.95,13.02,11.50,9.28,7.82,4.05,5.98,4.98,7.99,8.36,11.05,12.63
1923,13.28,13.49,11.88,9.41,6.78,5.62,3.51,4.82,7.45,8.22,10.97,11.65
1924,13.96,13.31,11.78,9.62,6.77,5.58,4.89,5.28,7.03,9.31,10.80,12.64
1925,13.16,12.94,12.52,9.40,6.94,4.62,4.74,6.49,7.45,8.73,11.17,12.67
1926,13.53,13.61,12.34,9.33,6.91,5.98,4.91,6.28,7.34,9.21,11.00,12.48
1927,13.16,13.98,12.21,9.79,7.06,5.09,4.91,5.99,6.55,9.50,11.24,12.28
1928,12.66,12.59,11.17,9.34,6.88,4.59,4.99,5.92,7.56,9.38,11.08,11.47
1929,13.76,13.47,11.76,10.56,6.63,5.32,5.78,5.65,7.77,8.68,10.93,12.12
1930,13.80,14.00,11.83,10.27,7.10,6.63,4.31,4.84,8.01,8.20,11.04,12.50
1931,13.23,13.64,11.70,9.08,5.80,4.52,4.70,5.51,6.08,9.52,9.71,12.71
1932,13.64,13.28,12.17,9.48,6.76,5.38,5.95,5.05,7.35,9.20,11.18,12.00
1933,12.79,12.62,11.27,9.74,7.53,5.35,4.17,6.32,7.40,8.98,10.42,11.73
1934,13.77,11.96,11.53,8.59,7.07,5.35,5.36,6.21,6.97,8.49,10.03,11.67
1935,13.26,12.97,12.67,8.93,8.37,5.92,4.54,6.12,6.12,7.57,10.93,11.96
1936,13.43,13.15,11.53,9.68,6.28,4.82,5.71,5.08,7.28,8.85,10.71,11.91
1937,13.43,13.12,11.21,9.36,6.52,5.59,4.64,5.31,6.98,8.28,10.58,12.76
1938,12.02,12.60,10.76,8.17,7.39,5.21,5.00,4.61,7.20,8.94,10.55,12.69
1939,13.37,12.74,11.20,8.33,7.03,6.16,5.61,6.54,7.23,8.64,9.76,12.00
1940,12.75,13.09,11.16,8.87,7.26,6.06,6.37,5.40,7.33,8.36,10.29,11.59
1941,13.83,12.46,11.51,8.28,6.31,5.80,5.94,6.36,6.39,10.00,10.01,12.48
1942,13.90,13.19,10.74,9.03,6.70,3.96,4.11,5.11,7.57,9.13,11.29,12.88
1943,13.78,13.73,11.03,9.73,7.91,5.45,5.55,4.64,7.14,9.41,10.64,13.13
1944,13.07,13.24,12.11,9.79,7.51,5.51,5.47,6.01,8.48,9.32,10.90,13.39
1945,14.26,13.45,12.22,10.23,8.01,5.59,4.85,6.82,8.34,9.94,10.54,12.33
1946,12.75,13.07,11.52,10.28,7.10,5.05,4.99,5.75,7.74,8.65,10.80,11.94
1947,13.14,12.96,11.66,9.20,7.29,6.39,4.73,5.31,6.83,9.09,11.64,11.96
1948,13.54,12.90,10.72,9.44,7.43,5.88,4.52,4.46,7.84,9.00,10.59,12.69
1949,13.41,12.69,11.26,10.19,7.15,5.64,4.79,5.33,6.87,8.99,11.37,12.24
1950,13.07,13.26,11.87,9.45,6.61,5.69,5.53,5.74,6.19,8.21,9.88,12.30
